id,create_at,text,user_name,user_description,user_followers_count,user_friends_count,state,county,city
1311457408166719489,2020-10-01T00:06:26.000Z,Covid free!!!🙏🏻🙏🏻🙏🏻 Not even death wanted me 😂😂,JudaiCrow,You miss the shots you don’t take 📸,189,361,Nevada,Clark,Las Vegas
1311495087881289730,2020-10-01T02:36:10.000Z,This impressed me a lot. Rick Steves has not only paid his employees throughout this Covid shutdown he suggested his employee use their free time to volunteer in the community.,Dawnistraveling,Travel photography books and wine,163,337,Washington,King,Kirkland
1311558333879521285,2020-10-01T06:47:29.000Z,COME DECEMBER I’M TELLING MY KIDS SANTA 🎅 DIED FROM COVID-19 🤷🏾‍♀️,imKiaSample,http://Instagram.com/kiasample,2851,3956,Maryland,Baltimore,Baltimore
1311668892260016128,2020-10-01T14:06:48.000Z,@BreeOlson Have you tried natural healing.With herbs and nutrients.There are natural healing remedies that could be a lot better than taking manmade drugs.They get your immune system to working https://t.co/nwKLBGa7kO the covid 19.Most people don't know how to eat for their immune system.,michael2490,I changed my name to my birthname Pettit.,29,59,Texas,Harris,Houston
1311707176872882177,2020-10-01T16:38:55.000Z,@akilbello @CommonApp The neutral/wealthy slide needs a COVID update. Grades in all courses is definitely impacted by wealth & is exacerbated more now. The fact that some students have to work all day while trying to manage their online courses is not neutral. So then rank is not neutral either.,taraMaustin,Education = Public Good #publicschool college counselor for 19 yrs & I’m still working to disrupt the status quo in college access. Tweets are my own. She/Her,826,2065,Texas,Travis,Austin
1311736995907919872,2020-10-01T18:37:25.000Z,@redskin_potato @rochaser1967 @johnnylocal UBI is the long term solution for my money - not just a Covid issue it’s the structural changes to employment being driven by technology. We need to rethink the whole nature of work/reward for wealth creation driven by technology not labour.,LUFC_Arizona,Englishman in Arizona! Washington Football Team F1 Leeds United cricket history politics. Moderator at http://Extremeskins.com.,1585,1802,Arizona,Maricopa,Chandler
1311781508701618178,2020-10-01T21:34:18.000Z,The only sociopaths are in the Trump family. Governor Cumo did an excellent job with Covid in NY. It would have been even better if the the Trump admin would have told the truth from the very beginning instead of the continuing lies.,StevenM79935864,Enjoying retirement,36,44,Florida,Pinellas,Clearwater
1311811243791900674,2020-10-01T23:32:27.000Z,This would be a stupid mistake especially since we see covid cases on the rise because college went back in person.,Cheryl_Crowe,Cheryl. she/her. Food. Politics. Bikes. Horticulture. Portland.,253,353,Oregon,Multnomah,Portland
1311836170146533377,2020-10-02T01:11:30.000Z,TULSA FOLLOWERS: Catch me on @FOX23 at 9pm as I discuss the impact of COVID-19 on restauranteurs! RT RT RT https://t.co/Rs0qAYgNtx,TravisSkol,Long off the tee. Sooners/Vikings/Thunder fan. Creator of #LincUp21 hashtag. Owner of @TreysBarGrill and @CardinalClubOK in Tulsa.,4333,3154,Oklahoma,Tulsa,Tulsa
1311855236470898693,2020-10-02T02:27:16.000Z,@dkennyhayes @cnnbrk Hating???? Because she got covid 😂😂😂😂😂 Oh gosh you are very intelligent 👍🏻,L_X_562,Professional in Criminal Law Defense#Masters 2020,1115,669,California,Los Angeles,Long Beach
1311870844780662784,2020-10-02T03:29:17.000Z,.@JoeBiden is focused on:—How to rebuild the economy—How to repair our alliances—How to unite the people—How to stop COVID-19—How to curb systemic racism—How to create more jobs—How to fix the environment.@realDonaldTrump is focused on himself https://t.co/ksrBrEy1A9,AmoneyResists,Proud gay man & #Resistance warrior. Trump is a racist genocidal traitor. In 35 days we #VoteForOurLives #TrumpDeathToll206K #BlackLivesMatter #BidenHarris2020,79987,70455,Rhode Island,Kent,Warwick
1311886528944144385,2020-10-02T04:31:36.000Z,@Sha50493240 @GtrTaz @senatemajldr Exactly where is all this money coming from? You liberals need a course in economics. Money doesn't grow on trees. Pelosi refused to pass this covid bill to save all these jobs not the GOP!,feniangirl,Conservative Dog lover. RC Irish roots. Demand accountability for Brian Terry & Benghazi. Stop swamp commies! #KAG #MAGA #Trump. We will survive!,3892,4221,Tennessee,Putnam,Cookeville
1311894818113695745,2020-10-02T05:04:33.000Z,Trump has COVID!!!! In Quarantine now.,sherrij57,Proud Mom and Grandmother#Browns#Clevelandsports and love Cockapoos,157,346,Ohio,Lorain,North Ridgeville
1311896184395624449,2020-10-02T05:09:58.000Z,T***P HAD COVID I CANT BREATHE DIE,noisegirlss,professionally obsessive | unt ‘22 | 20,1608,688,Texas,Denton,Denton
1311897340215808006,2020-10-02T05:14:34.000Z,My timeline when from Michael Myers to Trump getting COVID REALLLL QUICKKK,Yacakins,Kaitlin ❣️🤍 | Traveling The World One Festival At A Time ✈️🦋 | Dinosaurs 🦖🦕 | Unicorns 🦄|,2792,4210,Texas,El Paso,El Paso
1311898179969773569,2020-10-02T05:17:54.000Z,Trump got covid https://t.co/LZfGQcSWiK,realjohnjackson,CaliBraskan Chicagoan @UNLincoln Alum 🌽 @uoregon Alum 🦆; LA Urban Planner; Chicago raised me Nebraska made me. Sports transit and hip hop complete me.,766,1133,California,Los Angeles,Los Angeles
1311899145423089664,2020-10-02T05:21:44.000Z,i thought covid was a hoax ? 🤣,kaleidakanak,𝙽𝚊𝚙𝚞𝚊𝚎𝚑𝚊𝚘𝚔𝚊𝚕𝚊𝚗𝚒 ❥ • aloha ʻāina ✨,251,424,Hawaii,Honolulu,Kahuku
1311900388300337152,2020-10-02T05:26:41.000Z,Woooow trump has covid,heyitsjustkrys3,#BLACKLIVESMATTER #JUSTICEFORMARI 🦋 NJ|PHL✨Some people say I’m a whole mood. Self Love | Self Care | Plant Love | Lifestyle 🎥Watch Me on YouTube:,46,75,New Jersey,Gloucester,Oak Valley
1311901836807491590,2020-10-02T05:32:26.000Z,It is what it is... “Tonight @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately.” #itiswhatitis #donaldtrump #covid_19 #coronavirus #trump2020 🇺🇸 https://t.co/l7cGfuY9ZX,AntFitz4,haikus are easy / but sometimes they don't make sense / P.B.R.&B,1007,555,California,Los Angeles,Los Angeles
1311902946636959746,2020-10-02T05:36:51.000Z,Covid has a timeout decides not to use it.....,JLamerdin82,UCSB 21,273,634,California,Santa Barbara,Isla Vista
1311904706252304384,2020-10-02T05:43:50.000Z,@jademgaines Ok now Imagine trump getting killed by that covid next plz,Knishkabob,I really don't even tweet that often so what have you got to losehttps://soundcloud.com/knixxmix,616,742,California,Santa Clara,Mountain View
1311906678489538561,2020-10-02T05:51:40.000Z,me when i hear trump has covid-19 https://t.co/RwYVCaYpYw,okayeverett,here i am online,598,112,California,Los Angeles,Los Angeles
