id,create_at,text,user_name,user_description,user_followers_count,user_friends_count,state,county,city
1300584862076801024,2020-09-01T00:02:49.000Z,@TomFitton @nypost So virtually NO ONE died from COVID-19.,DavefromFlint,Never Surrender Never Apologize!I will not be pushed filed stamped indexed briefed debriefed or numbered! My life is my own!PMG 1967 #recallwitmer,1351,1707,Michigan,Genesee,Flint
1300608790593761287,2020-09-01T01:37:54.000Z,I just lost another friend to covid. He was more of a son. He was my sons best friend. Used to stay with us all the time. Called me Pops. My son is devistated. We moved last year but stayed in touch. My son got the call tonight from his friends family. I feel like I’ve been kicke,dougbrokaw,I’m a disabled vet father of 3 and grandfather of 8. I love spending my time with my family. And 2 of them work frontline at UofM Hospital. So proud/terrified!,19,59,Michigan,Washtenaw,Ypsilanti
1300630803093876736,2020-09-01T03:05:22.000Z,February 28 2020. Working Big 12 Championships blissfully unawares of what is to come on what ended up being around when first documented Covid transmission is widely reported https://t.co/hpDIzgJzFi,ledoylinator,Salvation was an inside job. go hawks,502,1678,Iowa,Johnson,Iowa City
1300729868376653824,2020-09-01T09:39:01.000Z,@NancyLeeGrahn @GeneralHospital I thought he was afraid of Covid but just watched the episode you're referring too. Uh oh.,CindyLeinwand12,"Enjoy Dachshunds & politics ""Sometimes I wonder whether the world is being run by smart people who are putting us on or by imbeciles who really mean it?""",3018,2671,California,Los Angeles,Los Angeles
1300785295600877568,2020-09-01T13:19:16.000Z,Breakfast #home w #cake #papaya & #vitamins #cheflife #cakeporn #cakesofinstagram #instacake #cakelover #instafood #covid #covidbaking #nomnom #foodgasm #foodstagram #foodphotography #foodlover #cakelife… https://t.co/nGBs3dXOJi,pichetong,chef food pimp author indie baker butcher spelling bee mama's boy geek original hipster mr fix it songwriter occasional tv star IG @pichetong,3611,304,Virginia,Arlington,Arlington
1300811979410472960,2020-09-01T15:05:18.000Z,thinking abt the fandom masks that would’ve existed and that i would’ve worn if covid happened in 2014,lil_chalk,“gay and disappointed” according to madi💥 she/her,156,330,Pennsylvania,Montgomery,Bryn Mawr
1300842731590348802,2020-09-01T17:07:30.000Z,@myrudy32 Press will be complicit with TRUMP'S CONTINUED manslaughter of AMERICANS BY COVID-19.,myrudy32,Director of Special EducationRetired Speech PathologistBroadway fan & old time rock and rollerlover of all things political science/ historyMom,390,904,Michigan,Ingham,Okemos
1300863536852357120,2020-09-01T18:30:10.000Z,sucking my dab pen dry in the covid testing line at the urgent care,itsalexsimpson,I’m honestly just happy to be here,16,118,Kentucky,Bell,Middlesborough
1300892744861331465,2020-09-01T20:26:14.000Z,Due to the #COVID-19 outbreak the Austin economy is really hurting. Things have got so bad Half Price Books announced they're changing their name to 80% Off Books. #WAH,TheSamSlade,Texan. Democrat. Comedian. @JulianCastro '20. @TheSecondCity '11. @BarackObama '08 & '12. Co-Host of Friday Morning w/ Andy & Sam and Weirdos At Home. #VoteBlue,2090,2697,Texas,Travis,Austin
1300912481263669248,2020-09-01T21:44:39.000Z,"Why would we? They lied to us ""The US will not join the WHO-linked global effort to develop a COVID-19 vaccine WaPo reports"" https://t.co/ne31cHfsYq",michaelsharon16,null,1493,3066,Michigan,Charlevoix,Charlevoix
1300934669874147329,2020-09-01T23:12:50.000Z,#Truth @freedomsfactionAs #Massachusetts and #Virginia lead the country in a push toward #mandatoryvaccination for both #COVID19 and the flu (which public health experts worry could exacerbate the current COVID-19… https://t.co/by098EIjTw,AngelCityTV,Angel City T.V. was created to bring information along with positive reinforcement sustainable practices global businesses and events to you.,235,473,California,Los Angeles,Los Angeles
1300969694644654080,2020-09-02T01:32:00.000Z,#COVID__19 #covidisoverday #WuhanVirus #COVID19 Under the Leadership of @realDonaldTrump @Mike_PenceThe USA has already done the heavy lifting. @ChinaUncensored & @RussiaUN has already been caught trying to steal our research of Virus 🦠 to create a vaccine,fast_nicky,life is short so live hard  USA#1 - MAGA2020 followed by @ScottBaio @lrihendry @Kevin Cork @JessieJaneduff -Biker 4Trump I followback all 🇺🇸 Patriots,4637,5100,New York,Nassau,East Meadow
1301007153231261696,2020-09-02T04:00:51.000Z,Smoking dope for COVID nigga I got the cure,yungxquis,sec(_),490,323,New York,Queens,Queens
1301098785226063879,2020-09-02T10:04:58.000Z,@nowthisnews It looks like covid is DISPROPORTIONATELY KILLING people of Darker skin. I know personally several people who are 80+ who don't know anyone who was killed during the Coronavirus crisis they are white. 🌺 CORRUPTION IN HOSPITALS needs to stop NOW. 🗽🍎 https://t.co/avk9BRbLmm,BuchserSusan,a MOTHER for PRESIDENT of the United States WRITE-IN🍎Official 😊 In GOOD I trust 💚 I like people who can make lemonade when given lemons 🗽,77,102,New York,Sullivan,Liberty
1301149176949100544,2020-09-02T13:25:12.000Z,@hushpoint1 @UFT put them in day care (if you can find one) and hope they don’t bring you home covid,desireejoyfrias,she/her. Queer mom of color. native bronx boricua. organizing to see socialism in my lifetime.,640,116,New York,Bronx,Bronx
1301172225614245888,2020-09-02T14:56:47.000Z,'Everyone wanted to say it was all in my head': Patients cope with the long-term effects of COVID-19 https://t.co/VWuqc2zdXA#LongCovid #CovidRehab #Physiatry @UTHSA_RehabMed @UTHealthSA @UnivHealthSys,MVGutierrezMD,Professor & Chair of Rehabilitation Medicine @uthsa_rehabmed @UTHealthSA | #Physiatry | mom runner #LatinasInMedicine | my ideas,6727,4869,Texas,Bexar,San Antonio
1301201992384217088,2020-09-02T16:55:04.000Z,When you’re in a hospital waiting room about to get a covid test & everyone around you is coughing~🦠~one mask is not enough 😷 It’s Pre-Pre Opp Day~>CatScans are Next👍🏼 @joshuaseth @michelewrightTV @lookner @RitasReel @LindaLBelk @SharonCraig54 https://t.co/lT5F9PQi4P,MissMisha77,❤Life•Peace✌️Optimism~Health~Wellness Awareness•GoodReads•Travel✈️Pups🐶 ✨EventPlanner•Entrepreneur• PublicSpeaker✨ MSWarrior💪🏼🎗,1980,1778,Florida,Orange,Orlando
1301225859303510019,2020-09-02T18:29:55.000Z,They be like they outside having a block party throw covid 19 numbers back up shit crazy all be safe on king Jesus Christ he is watching amen,PernellClayton,Got a good heart and work good with people and a child of god jesus christ and do not like people who take advantage of me or others i love everything postive,14,674,Maryland,Prince George's,Landover
1301250681857171458,2020-09-02T20:08:33.000Z,@ddale8 @JoyAnnReid Even if someone was obese if they caught covid and died they died of covid. Downplaying death is disgusting. #COVID__19,BettyQLovesU,🏝California/Jersey Girl🍕GlamGeek 💋🃏 Empathy is 🔑 PopArt Model Actress Singer Weirdo🦄💃🏼🤖😹,174,303,California,San Diego,San Diego
1301276273214455810,2020-09-02T21:50:14.000Z,@BatmanOffDuty She goes to a salon outside of her home state hell her home city and I’d maybe give her a pass.But it’s like cmon man you couldn’t wait one day? And to pretend like you don’t know your own Covid rules in your own state is just whew.,GovernorPhilW,I’m just here to blow off some steam like funny stuff & talk a little sh*t. Then go back to real life. “slow down Wayne- you know that’s all on me” - Birdman,399,2766,Michigan,Ingham,Lansing
1301311218888699905,2020-09-03T00:09:06.000Z,Please take time to review the FAQ’s section on our system website as it relates to Covid 19. Below are some recent additions. 🐻⬇️ #protectthebear https://t.co/zHYYBpiqeM,RizerBEARDOWN,null,1293,28,Georgia,Houston,Warner Robins
1301332101871153153,2020-09-03T01:32:05.000Z,i didn’t get the freshman 15 last year but i think i got the covid 19 😭😭,hearteyesval,hi i make art and cry || emory ‘23 💙 || #BLM || she/her/ella,675,563,Texas,Harris,Houston
1301347598629056514,2020-09-03T02:33:40.000Z,Actually u sent COVID-19 patients into nursing homes while @realDonaldTrump sent u a hospital ship & converted the Javits Center into a hospital.,tomborelli,PhD molecular biologist turned political activist & TV commentator Former biz exec & Congressional Staffer Contributor w @AVoiceNews RTs ≠ endorsements,31721,1602,Connecticut,Fairfield,Greenwich
1301377221198786561,2020-09-03T04:31:22.000Z,Been thinking about my first ideal night out after covid. 8pm: start the night off by going to my favorite all you can eat sushi place. 12am: leave. 12:30am: go to sleep.,DylanSLiu,Founder of @tamuesports and @UconnectEsports. We bring brand sponsorships to esports communities.All hail the imperial empire of Texas.,432,555,Texas,Fort Bend,Cinco Ranch
1301473799490220032,2020-09-03T10:55:08.000Z,@VillBoyPump Me too only if COVID is gone by then,LiveInMyShoes89,“I swear I walk with God but the devil keeps following.” – J Cole ♎️ 🇩🇴 🇺🇸,103,147,Rhode Island,Providence,Providence
1301517433837162502,2020-09-03T13:48:31.000Z,@markpoloncarz Thank the stars that Western NY is full of intelligent people on both sides of the political spectrum and they don’t just listen to Mark. There has been a tremendous effort by all citizens of both parties to do the right thing during this Covid crisis IN SPITE of your failures.,cnn_check,"When I started 'CNN' I made the decision to stay out of endorsing candidates myself I hired hosts who would decide who we would push for office. ""Ted Turner""",102,161,New York,Erie,Orchard Park
1301547152288645121,2020-09-03T15:46:37.000Z,Many people have said I would’ve won a Tekken major by now if it weren’t for COVID.,Chief_Eef,CEO of Ya Guey Enterprises,345,959,Texas,Harris,Houston
1301569835495694338,2020-09-03T17:16:45.000Z,U.S. Marshals Are Transporting Prisoners With COVID | The Marshall Project via ⁦@MarshallProj⁩ https://t.co/CPyBtsEO8L,deuceohsixx,#BlackLivesMatter • #Resistance,7958,7153,Washington,King,Seattle
1301588007246585864,2020-09-03T18:28:57.000Z,@Hello_Gaby And then getting called covid queen by Hello_Gaby the first time we met,AmyShircel,she/her vegan 🦧 #FreePalestine #TransLivesMatter #BLM #Bernie2020,6054,324,Wisconsin,Kenosha,Kenosha
1301612011885715456,2020-09-03T20:04:21.000Z,DO YOU NEED A #Stimuluscheck LIKE ME??If so call #NancyPelosi's office at 202 225-4965.Tell her to re-engage in #negotiation with the #Republicans or you will #VoteRed.#Biden2020 #JoeBiden #LatinosForTrump #BlacksForTrump#Covid_19#EvictionMoratoriumPLEASE #RETWEEET!!,rickarobb,4th Gen AmericanFiscally conservativeSocially liberal-with personal responsibility as a prioritySmall business ownerPassion: My wife-golf-sailboats,47,236,California,Orange,Huntington Beach
